entry_type,citation_key,address,author,booktitle,editor,issue,journal,note,number,organization,pages,publisher,title,volume,year
book,fairmlbook,,Solon Barocas and Moritz Hardt and Arvind Narayanan,,,,,URL: \url{http://www.fairmlbook.org},,,,fairmlbook.org,\textbf{Fairness and {M}achine {L}earning},,2019
article,schmidt2019introduction,,"Schmidt, Nicholas and Stephens, Bryce",,,,Conference on Consumer Finance Law Quarterly Report,URL: \url{https://arxiv.org/pdf/1911.05755.pdf},2,,130--144,,An {I}ntroduction to {A}rtificial {I}ntelligence and {S}olutions to the {P}roblems of {A}lgorithmic {D}iscrimination,73,2019
article,been_kim1,,Finale Doshi-Velez and Been Kim,,,,arXiv preprint arXiv:1702.08608,URL: \url{https://arxiv.org/pdf/1702.08608.pdf},,,,,Towards a {R}igorous {S}cience of {I}nterpretable {M}achine {L}earning,,2017
article,hall2019proposed,,"Hall, Patrick and Navdeep Gill and Nicholas Schmidt",,,,NeurIPS Robust AI in Financial Services Workshop,URL: \url{https://arxiv.org/pdf/1906.03533.pdf},,,,,Proposed {G}uidelines for the {R}esponsible {U}se of {E}xplainable {M}achine {L}earning,,2019
inproceedings,hutchinson201950,,"Hutchinson, Ben and Mitchell, Margaret","Proceedings of the Conference on Fairness, Accountability, and Transparency",,,,URL: \url{https://arxiv.org/pdf/1811.10104.pdf},,,49--58,,50 {Y}ears of {T}est ({U}n) {F}airness: Lessons for {M}achine {L}earning,,2019
book,cohen1988statistical,,"Cohen, Jacob",,,,,URL: \url{https://bit.ly/398IYLr},,,,Lawrence Erlbaum Associates,\textbf{Statistical {P}ower {A}nalysis for the {B}ehavioral {S}ciences},,1988
article,kamiran2012data,,"Kamiran, Faisal and Calders, Toon",,,,Knowledge and Information Systems,URL: \url{https://bit.ly/2lH95lQ},1,,1--33,Springer,Data {P}reprocessing {T}echniques for {C}lassification {W}ithout {D}iscrimination,33,2012
inproceedings,zhang2018mitigating,,"Zhang, Brian Hu and Lemoine, Blake and Mitchell, Margaret","Proceedings of the 2018 AAAI/ACM Conference on AI, Ethics, and Society",,,,URL: \url{https://arxiv.org/pdf/1801.07593.pdf},,ACM,335--340,,Mitigating {U}nwanted {B}iases with {A}dversarial {L}earning,,2018
inproceedings,kamiran2012decision,,"Kamiran, Faisal and Karim, Asim and Zhang, Xiangliang",2012 IEEE 12th International Conference on Data Mining,,,,URL: \url{http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.722.3030&rep=rep1&type=pdf},,IEEE,924--929,,Decision {T}heory for {D}iscrimination-aware {C}lassification,,2012
article,please_stop,,"Rudin, Cynthia",,,,arXiv preprint arXiv:1811.10154,URL: \url{https://arxiv.org/pdf/1811.10154.pdf},,,,,Please {S}top {E}xplaining {B}lack {B}ox {M}odels for {H}igh {S}takes {D}ecisions and {U}se {I}nterpretable {M}odels {I}nstead,,2018
inproceedings,ga2m,,"Lou, Yin and Caruana, Rich and Gehrke, Johannes and Hooker, Giles",Proceedings of the 19th ACM SIGKDD International Conference on Knowledge Discovery and Data Mining,,,,URL: \url{http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.352.7682&rep=rep1&type=pdf},,ACM,623--631,,Accurate {I}ntelligible {M}odels with {P}airwise {I}nteractions,,2013
article,osdt,,"Hu, Xiyang and Rudin, Cynthia and Seltzer, Margo",,,,arXiv preprint arXiv:1904.12847,URL: \url{https://arxiv.org/pdf/1904.12847.pdf},,,,,Optimal {S}parse {D}ecision {T}rees,,2019
article,wf_xnn,,"Vaughan, Joel and Sudjianto, Agus and Brahimi, Erind and Chen, Jie and Nair, Vijayan N.",,,,arXiv preprint arXiv:1806.01933,URL: \url{https://arxiv.org/pdf/1806.01933.pdf},,,,,Explainable {N}eural {N}etworks {B}ased on {A}dditive {I}ndex {M}odels,,2018
inproceedings,sbrl,,Hongyu Yang and Cynthia Rudin and Margo Seltzer,Proceedings of the 34th International Conference on Machine Learning {(ICML)},,,,URL: \url{https://arxiv.org/pdf/1602.08610.pdf},,,,,Scalable {B}ayesian {R}ule {L}ists,,2017
article,angelino2017learning,,"Angelino, Elaine and Larus-Stone, Nicholas and Alabi, Daniel and Seltzer, Margo and Rudin, Cynthia",,,,The Journal of Machine Learning Research,URL: \url{http://www.jmlr.org/papers/volume18/17-716/17-716.pdf},1,,8753--8830,JMLR.org,Learning {C}ertifiably {O}ptimal {R}ule {L}ists for {C}ategorical {D}ata,18,2017
inproceedings,grad_attr,,"Ancona, Marco and Ceolini, Enea and Oztireli, Cengiz and Gross, Markus",6th International Conference on Learning Representations (ICLR 2018),,,,URL: \url{https://www.research-collection.ethz.ch/bitstream/handle/20.500.11850/249929/Flow_ICLR_2018.pdf},,,,,Towards {B}etter {U}nderstanding of {G}radient-based {A}ttribution {M}ethods for {D}eep {N}eural {N}etworks,,2018
incollection,shapley,,"Lundberg, Scott M. and Lee, Su-In",Advances in Neural Information Processing Systems (NIPS),I. Guyon and U. V. Luxburg and S. Bengio and H. Wallach and R. Fergus and S. Vishwanathan and R. Garnett,,,URL: \url{http://papers.nips.cc/paper/7062-a-unified-approach-to-interpreting-model-predictions.pdf},,,4765--4774,"Curran Associates, Inc.",A {U}nified {A}pproach to {I}nterpreting {M}odel {P}redictions,,2017
article,dt_surrogate1,,Mark W. Craven and Jude W. Shavlik,,,,Advances in Neural Information Processing Systems,URL: \url{http://papers.nips.cc/paper/1152-extracting-tree-structured-representations-of-trained-networks.pdf},,,,,Extracting {T}ree-{S}tructured {R}epresentations of {T}rained {N}etworks,,1996
article,dt_surrogate2,,Osbert Bastani and Carolyn Kim and Hamsa Bastani,,,,arXiv preprint arXiv:1705.08504,URL: \url{https://arxiv.org/pdf/1705.08504.pdf},,,,,Interpreting {B}lackbox {M}odels via {M}odel {E}xtraction,,2017
inproceedings,anchors,,"Ribeiro, Marco Tulio and Singh, Sameer and Guestrin, Carlos",{A}AAI {C}onference on {A}rtificial {I}ntelligence,,,,URL: \url{https://homes.cs.washington.edu/~marcotcr/aaai18.pdf},,,,,Anchors: High-{P}recision {M}odel-agnostic {E}xplanations,,2018
inproceedings,lime,,Marco Tulio Ribeiro and Sameer Singh and Carlos Guestrin,Proceedings of the 22nd ACM SIGKDD International Conference on Knowledge Discovery and Data Mining,,,,URL: \url{http://www.kdd.org/kdd2016/papers/files/rfp0573-ribeiroA.pdf},,ACM,1135--1144,,Why {S}hould {I} {T}rust {Y}ou?: {E}xplaining the {P}redictions of {A}ny {C}lassifier,,2016
article,ale_plot,,"Apley, Daniel W.",,,,arXiv preprint arXiv:1612.08468,URL: \url{https://arxiv.org/pdf/1612.08468.pdf},,,,,Visualizing the {E}ffects of {P}redictor {V}ariables in {B}lack {B}ox {S}upervised {L}earning {M}odels,,2016
book,esl,New York,Jerome Friedman and Trevor Hastie and Robert Tibshirani,\textit{The Elements of Statistical Learning},,,,URL: \url{https://web.stanford.edu/~hastie/ElemStatLearn/printings/ESLII\_print12.pdf},,,,Springer,\textbf{The Elements of Statistical Learning},,2001
article,ice_plots,,Alex Goldstein and Adam Kapelner and Justin Bleich and Emil Pitkin,,,,Journal of Computational and Graphical Statistics,URL: \url{https://arxiv.org/pdf/1309.6392.pdf},1,,,,Peeking {I}nside the {B}lack {B}ox: {V}isualizing {S}tatistical {L}earning with {P}lots of {I}ndividual {C}onditional {E}xpectation,24,2015
article,bracke2019machine,,"Bracke, Philippe and Datta, Anupam and Jung, Carsten and Sen, Shayak",,,,,URL: \url{https://bit.ly/2UXz4Uy},,,,Bank of England Working Paper,Machine {L}earning {E}xplainability in {F}inance: {A}n {A}pplication to {D}efault {R}isk {A}nalysis,,2019
article,bussman2019explainable,,"Bussman, Niklas and Giudici, Paolo and Marinelli, Dimitri and Papenbrock, Jochen",,,,"Credit Risk Management (December 18, 2019)",URL: \url{https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3506274},,,,,Explainable {AI} in {C}redit {R}isk {M}anagement,,2019
article,information,,"Hall, Patrick and Navdeep Gill and Kim Montgomery and Nicholas Schmidt",,,3,Information,URL: \url{https://www.mdpi.com/2078-2489/11/3/137},,,,,"A {R}esponsible {M}achine {L}earning {W}orkflow with {F}ocus on {I}nterpretable {M}odels, {P}ost-hoc {E}xplanation, and {D}iscrimination {T}esting",11,2020
article,frye2020asymmetric,,"Frye, Christopher and Rowat, Colin and Feige, Ilya",,,,Advances in Neural Information Processing Systems,URL: \url{https://arxiv.org/pdf/1910.06358.pdf},,,,,Asymmetric {S}hapley {V}alues: {I}ncorporating {C}ausal {K}nowledge into {M}odel-agnostic {E}xplainability,33,2020
inproceedings,janzing2020feature,,"Janzing, Dominik and Minorics, Lenon and Bl{\""o}baum, Patrick",International Conference on Artificial Intelligence and Statistics,,,,URL: \url{http://proceedings.mlr.press/v108/janzing20a/janzing20a.pdf},,PMLR,2907--2916,,Feature {R}elevance {Q}uantification in {E}xplainable {AI}: a {C}ausal {P}roblem,,2020
book,molnar2020limitations,,Christoph Molnar et al.,,,,,URL: \url{https://compstat-lmu.github.io/iml_methods_limitations/},,,,LMU Munich,Limitations of {I}nterpretable {M}achine {L}earning {M}ethods,,2020
article,kumar2020problems,,"Kumar, I. Elizabeth and Venkatasubramanian, Suresh and Scheidegger, Carlos and Friedler, Sorelle",,,,arXiv preprint arXiv:2002.11097,URL: \url{https://arxiv.org/pdf/2002.11097.pdf},,,,,Problems with {S}hapley-value-based {E}xplanations as {F}eature {I}mportance {M}easures,,2020
inproceedings,art_and_sci,,"Hall, Patrick",KDD '19 XAI Workshop,,,,URL: \url{https://arxiv.org/pdf/1810.02909.pdf},,,,,On the {A}rt and {S}cience of {M}achine {L}earning {E}xplanations,,2019
book,shapley1988shapley,,"Shapley, Lloyd S. and Roth, Alvin E. and others",,,,,URL: \url{http://www.library.fa.ru/files/Roth2.pdf},,,,Cambridge University Press,\textit{The Shapley {V}alue: {E}ssays in {H}onor of {L}loyd {S}. {S}hapley},,1988
article,poursabzi2018manipulating,,"Poursabzi-Sangdeh, Forough and Goldstein, Daniel G. and Hofman, Jake M. and Vaughan, Jennifer Wortman and Wallach, Hanna",,,,arXiv preprint arXiv:1802.07810,URL: \url{https://arxiv.org/pdf/1802.07810.pdf},,,,,Manipulating and {M}easuring {M}odel {I}nterpretability,,2018
article,tomsett2018interpretable,,"Tomsett, Richard and Braines, Dave and Harborne, Dan and Preece, Alun and Chakraborty, Supriyo",,,,2018 ICML Workshop on Human Interpretability in Machine Learning (WHI 2018),URL: \url{https://arxiv.org/pdf/1806.07552.pdf},,,,,Interpretable to {W}hom? {A} {R}ole-based {M}odel for {A}nalyzing {I}nterpretable {M}achine {L}earning {S}ystems,,2018
article,wachter2017counterfactual,,"Wachter, Sandra and Mittelstadt, Brent and Russell, Chris",,,,Harv. JL \& Tech.,URL: \url{https://arxiv.org/pdf/1711.00399.pdf},,,841,HeinOnline,Counterfactual {E}xplanations {W}ithout {O}pening the {B}lack {B}ox: {A}utomated {D}ecisions and the {G}{P}{D}{R},31,2017
